,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
conv0_row0,12990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1_row0,13331.0,18933.0,18208.0,18791.0,19992.0,19568.0,19430.0,20175.0,17985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1_row1,13724.0,19053.0,18798.0,19517.0,20325.0,19848.0,19326.0,19868.0,18144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row0,13994.0,17398.0,16733.0,16837.0,17169.0,16618.0,17036.0,18256.0,18048.0,17879.0,16755.0,17549.0,17422.0,18406.0,18265.0,17900.0,17462.0,18058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row1,13284.0,16896.0,15987.0,16419.0,16572.0,15899.0,15704.0,17214.0,17722.0,17209.0,16505.0,16730.0,17011.0,17336.0,17287.0,17112.0,16576.0,16767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row2,13820.0,17070.0,16070.0,16073.0,16371.0,15690.0,15793.0,17370.0,17250.0,17417.0,16517.0,16486.0,16906.0,17475.0,17281.0,17001.0,16944.0,16468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row3,13988.0,17548.0,16342.0,16649.0,17279.0,16066.0,16362.0,18171.0,17972.0,17460.0,17306.0,16936.0,17165.0,17694.0,18004.0,17574.0,17101.0,16929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row0,11077.0,14911.0,14949.0,14886.0,14145.0,14528.0,14413.0,14517.0,14892.0,13885.0,13673.0,13799.0,13867.0,14211.0,14201.0,14637.0,14810.0,14562.0,14904.0,14221.0,13732.0,14469.0,14606.0,13916.0,14212.0,14251.0,14094.0,14242.0,13891.0,14511.0,15011.0,14637.0,13755.0,14348.0,13961.0,14335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row1,11143.0,15083.0,14710.0,14526.0,14480.0,14519.0,14567.0,14589.0,14757.0,13931.0,14166.0,13783.0,13540.0,14160.0,14297.0,14803.0,14810.0,14685.0,14741.0,14627.0,14138.0,14626.0,14478.0,13856.0,14205.0,14882.0,14274.0,14149.0,14001.0,15041.0,15400.0,14854.0,14409.0,14303.0,14481.0,14892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row2,11100.0,14604.0,14470.0,14555.0,14184.0,14035.0,14143.0,14071.0,14181.0,13747.0,13700.0,13557.0,13709.0,13935.0,14239.0,14372.0,14810.0,14742.0,14611.0,14364.0,13408.0,14069.0,14383.0,13789.0,14200.0,14554.0,14357.0,14222.0,13788.0,14621.0,15261.0,14656.0,14217.0,14339.0,14272.0,14486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row3,11430.0,15256.0,15756.0,15664.0,15271.0,15292.0,15216.0,15118.0,15362.0,14415.0,14534.0,14392.0,14685.0,14717.0,14801.0,15030.0,15006.0,15472.0,15368.0,14952.0,14711.0,15184.0,15303.0,14734.0,14577.0,14769.0,14742.0,14752.0,14399.0,15763.0,16006.0,15499.0,14700.0,14855.0,15353.0,15582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row4,11579.0,15217.0,15431.0,15318.0,14871.0,14752.0,14835.0,14979.0,15068.0,14188.0,14411.0,14143.0,14006.0,13990.0,14621.0,14758.0,15098.0,15153.0,15562.0,15034.0,14413.0,14870.0,14732.0,14068.0,14500.0,14980.0,14536.0,14358.0,13937.0,15074.0,15971.0,15315.0,14458.0,14510.0,15165.0,15349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row5,11041.0,14727.0,14605.0,14206.0,14318.0,14497.0,14572.0,14613.0,14617.0,13947.0,14268.0,13749.0,13784.0,13990.0,14434.0,14494.0,14840.0,14928.0,14939.0,14403.0,14195.0,14598.0,14431.0,13809.0,14087.0,14671.0,14216.0,14290.0,13766.0,15074.0,15388.0,14960.0,13843.0,14470.0,14673.0,14639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row6,11435.0,15238.0,15359.0,15134.0,14895.0,14879.0,15081.0,14802.0,15068.0,14359.0,14247.0,14520.0,14596.0,14530.0,14627.0,15123.0,15202.0,15448.0,15488.0,14751.0,14479.0,14940.0,15132.0,14462.0,14248.0,14744.0,14709.0,14700.0,14533.0,15300.0,15355.0,15314.0,14651.0,14792.0,14987.0,15199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row7,11218.0,14798.0,14829.0,14891.0,14173.0,14313.0,14410.0,14542.0,14912.0,13966.0,14080.0,13902.0,13798.0,14134.0,14335.0,14537.0,14765.0,14924.0,15122.0,14693.0,14126.0,14535.0,14558.0,14106.0,14126.0,14446.0,14453.0,14036.0,13770.0,14952.0,15342.0,14748.0,14435.0,14638.0,14778.0,14931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv4_row0,9042.0,13342.0,12652.0,12912.0,13249.0,12950.0,13689.0,13649.0,12417.0,12460.0,12730.0,12378.0,13012.0,13817.0,13777.0,12864.0,12697.0,13246.0,13154.0,13955.0,13961.0,13328.0,13266.0,11999.0,12158.0,12544.0,12586.0,13208.0,13466.0,13232.0,13248.0,12899.0,13629.0,12761.0,13143.0,13551.0,13330.0,13794.0,13711.0,12686.0,12600.0,13165.0,12672.0,12596.0,12699.0,12763.0,13747.0,12870.0,12593.0,12437.0,11851.0,12573.0,13517.0,13604.0,13041.0,12416.0,13568.0,14515.0,13802.0,12567.0,12865.0,12951.0,12974.0,13152.0,13221.0,12905.0,12922.0,13091.0,12894.0,12220.0,12857.0,13281.0
conv4_row1,8969.0,12851.0,12419.0,12797.0,13055.0,12619.0,13580.0,13252.0,12260.0,12509.0,12840.0,12163.0,12893.0,13290.0,13165.0,12566.0,12643.0,12994.0,12625.0,13419.0,13367.0,13171.0,13076.0,11754.0,11919.0,12254.0,12252.0,13051.0,13276.0,13294.0,13046.0,13049.0,13371.0,12918.0,12838.0,13008.0,12936.0,13533.0,13513.0,12786.0,12507.0,12891.0,12625.0,12627.0,12316.0,12358.0,13216.0,12761.0,12317.0,12308.0,11643.0,12503.0,13169.0,13293.0,12877.0,12089.0,13235.0,14111.0,13414.0,12603.0,12394.0,12663.0,13187.0,12879.0,12748.0,12690.0,13265.0,12798.0,12967.0,11906.0,12487.0,12814.0
conv4_row2,8915.0,12933.0,12378.0,12477.0,13285.0,12997.0,13585.0,13291.0,12382.0,12512.0,12567.0,12450.0,12779.0,13504.0,13709.0,12821.0,12721.0,13212.0,12593.0,13447.0,13956.0,13092.0,12918.0,11760.0,12099.0,12134.0,12648.0,12902.0,13201.0,13055.0,12969.0,12810.0,13134.0,12782.0,12820.0,13248.0,13469.0,13582.0,13566.0,12896.0,12654.0,12857.0,12517.0,12758.0,12288.0,12488.0,13331.0,12704.0,12452.0,12449.0,11787.0,12423.0,13160.0,12932.0,12495.0,11948.0,13433.0,14329.0,13738.0,12676.0,12801.0,12899.0,12995.0,13179.0,12560.0,12447.0,12776.0,12775.0,12778.0,11985.0,12503.0,12572.0
conv4_row3,9123.0,13169.0,12628.0,12718.0,13227.0,12963.0,14157.0,14306.0,12627.0,12636.0,12710.0,12600.0,13013.0,13800.0,13775.0,12734.0,12927.0,13497.0,12886.0,13899.0,13964.0,13644.0,13276.0,12120.0,12060.0,12301.0,12538.0,13286.0,13543.0,13015.0,13003.0,13352.0,13870.0,13108.0,13195.0,13677.0,13143.0,13402.0,13714.0,13250.0,12914.0,13269.0,12790.0,12798.0,12851.0,12905.0,13551.0,12697.0,12964.0,12835.0,11939.0,12842.0,13086.0,13457.0,12700.0,12383.0,13952.0,14464.0,13837.0,12810.0,13047.0,13075.0,13603.0,13007.0,13082.0,12700.0,13335.0,13246.0,13086.0,12114.0,13048.0,13461.0
conv4_row4,9316.0,13267.0,12629.0,12851.0,13250.0,13321.0,13760.0,14152.0,12860.0,13003.0,13206.0,12711.0,13206.0,14087.0,13674.0,12806.0,13122.0,13268.0,12631.0,13884.0,14411.0,13688.0,13648.0,12128.0,12417.0,12759.0,12762.0,13381.0,13713.0,13785.0,13435.0,13597.0,13596.0,13163.0,13269.0,13745.0,13295.0,14593.0,14315.0,13381.0,13052.0,13529.0,12835.0,12803.0,12667.0,12768.0,14038.0,13159.0,12812.0,13046.0,12157.0,12823.0,13959.0,13737.0,12926.0,12444.0,13865.0,15027.0,14106.0,12909.0,12910.0,13165.0,13257.0,13469.0,13043.0,12571.0,13225.0,13352.0,13457.0,12440.0,12918.0,13424.0
conv4_row5,8943.0,13183.0,12496.0,12567.0,13121.0,12731.0,13362.0,13576.0,12434.0,12189.0,12684.0,12449.0,12441.0,13799.0,13577.0,12426.0,12808.0,13189.0,12893.0,13794.0,13753.0,13058.0,13161.0,11918.0,11751.0,12410.0,12369.0,13030.0,13477.0,13407.0,13263.0,12969.0,13886.0,13042.0,12898.0,12985.0,12854.0,13704.0,13750.0,12764.0,12511.0,12854.0,12581.0,12518.0,12623.0,12750.0,13323.0,12786.0,12854.0,12636.0,11594.0,12640.0,13330.0,13510.0,12727.0,12611.0,13311.0,14300.0,13855.0,12987.0,12739.0,12733.0,13242.0,13093.0,12942.0,12750.0,12959.0,13122.0,13093.0,11762.0,12630.0,13037.0
conv4_row6,8976.0,12715.0,12210.0,12487.0,12818.0,12662.0,13196.0,13391.0,12223.0,12565.0,12592.0,12300.0,13180.0,13328.0,13508.0,12774.0,12630.0,12857.0,12558.0,13269.0,13471.0,13048.0,13147.0,11906.0,12080.0,12029.0,12259.0,12784.0,13238.0,13037.0,12899.0,12383.0,13187.0,12888.0,12924.0,13224.0,12918.0,13732.0,14021.0,12891.0,12652.0,13046.0,12601.0,12714.0,12791.0,12273.0,13203.0,12717.0,12232.0,12453.0,11608.0,12425.0,13019.0,13182.0,12435.0,12027.0,13636.0,14326.0,13860.0,12602.0,12917.0,12684.0,12874.0,12915.0,12796.0,12637.0,13056.0,12824.0,12361.0,11631.0,12677.0,12532.0
