,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
conv0_row0,13156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1_row0,6444.0,1336.0,773.0,556.0,525.0,477.0,625.0,866.0,1586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1_row1,6585.0,1428.0,866.0,596.0,476.0,488.0,608.0,853.0,1567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row0,6497.0,1353.0,825.0,600.0,601.0,579.0,494.0,520.0,463.0,484.0,522.0,525.0,568.0,623.0,743.0,871.0,1103.0,1985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row1,6356.0,1339.0,762.0,706.0,607.0,569.0,478.0,479.0,451.0,464.0,431.0,505.0,564.0,583.0,739.0,797.0,1115.0,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row2,6258.0,1294.0,817.0,625.0,579.0,535.0,499.0,456.0,497.0,462.0,463.0,539.0,547.0,637.0,673.0,828.0,1106.0,1925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row3,6362.0,1369.0,811.0,653.0,613.0,536.0,510.0,481.0,498.0,494.0,464.0,473.0,575.0,654.0,701.0,811.0,1120.0,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row0,5614.0,915.0,393.0,310.0,271.0,365.0,377.0,395.0,431.0,381.0,376.0,308.0,256.0,223.0,183.0,144.0,104.0,77.0,82.0,74.0,91.0,97.0,125.0,158.0,230.0,264.0,350.0,327.0,396.0,460.0,439.0,450.0,432.0,485.0,651.0,1412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row1,5613.0,893.0,455.0,368.0,344.0,332.0,349.0,378.0,401.0,353.0,326.0,344.0,258.0,207.0,188.0,128.0,100.0,97.0,85.0,80.0,87.0,98.0,147.0,171.0,228.0,260.0,320.0,348.0,414.0,454.0,435.0,441.0,442.0,494.0,644.0,1356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row2,5687.0,930.0,473.0,330.0,298.0,360.0,374.0,405.0,397.0,348.0,345.0,321.0,262.0,227.0,176.0,129.0,112.0,94.0,72.0,95.0,91.0,107.0,138.0,164.0,231.0,288.0,339.0,392.0,413.0,441.0,442.0,464.0,384.0,416.0,654.0,1364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row3,5594.0,958.0,432.0,309.0,284.0,308.0,353.0,378.0,400.0,369.0,348.0,302.0,294.0,216.0,192.0,143.0,103.0,121.0,68.0,63.0,76.0,98.0,128.0,178.0,238.0,282.0,363.0,398.0,442.0,443.0,422.0,402.0,387.0,444.0,610.0,1460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row4,5831.0,980.0,434.0,325.0,283.0,326.0,387.0,389.0,418.0,396.0,385.0,297.0,295.0,267.0,206.0,158.0,111.0,92.0,73.0,79.0,94.0,116.0,161.0,206.0,259.0,305.0,353.0,401.0,421.0,446.0,422.0,420.0,401.0,468.0,702.0,1453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row5,5382.0,847.0,376.0,309.0,261.0,371.0,363.0,405.0,440.0,396.0,348.0,318.0,249.0,193.0,158.0,118.0,88.0,70.0,76.0,67.0,73.0,113.0,126.0,154.0,209.0,261.0,314.0,374.0,473.0,439.0,444.0,414.0,389.0,435.0,603.0,1252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
